Estado,vacunados,descarga
Aguascalientes,1650383,15-Mar-2022 (03:55:04)
Baja California,3276777,15-Mar-2022 (03:55:04)
Baja California Sur,947698,15-Mar-2022 (03:55:04)
Campeche,1164995,15-Mar-2022 (03:55:04)
Chiapas,3771407,15-Mar-2022 (03:55:04)
Chihuahua,4527102,15-Mar-2022 (03:55:04)
Coahuila,3650430,15-Mar-2022 (03:55:04)
Colima,863882,15-Mar-2022 (03:55:04)
CDMX,13156558,15-Mar-2022 (03:55:04)
Durango,2036751,15-Mar-2022 (03:55:04)
Guerrero,2931834,15-Mar-2022 (03:55:04)
Hidalgo,3750376,15-Mar-2022 (03:55:04)
Jalisco,8493172,15-Mar-2022 (03:55:04)
Estado de México,22460360,15-Mar-2022 (03:55:04)
Michoacán,4557489,15-Mar-2022 (03:55:04)
Morelos,2251565,15-Mar-2022 (03:55:04)
Nayarit,1346349,15-Mar-2022 (03:55:04)
Nuevo León,7193423,15-Mar-2022 (03:55:04)
Oaxaca,3580404,15-Mar-2022 (03:55:04)
Puebla,7069302,15-Mar-2022 (03:55:04)
Querétaro,3108862,15-Mar-2022 (03:55:04)
Quintana Roo,2366344,15-Mar-2022 (03:55:04)
San Luis Potosí,3233287,15-Mar-2022 (03:55:04)
Sinaloa,3832082,15-Mar-2022 (03:55:04)
Sonora,3529952,15-Mar-2022 (03:55:04)
Tabasco,2966754,15-Mar-2022 (03:55:04)
Tamaulipas,4234931,15-Mar-2022 (03:55:04)
Tlaxcala,1637982,15-Mar-2022 (03:55:04)
Veracruz,7898309,15-Mar-2022 (03:55:04)
Yucatán,2917155,15-Mar-2022 (03:55:04)
Zacatecas,1806999,15-Mar-2022 (03:55:04)
Guanajuato,7062547,15-Mar-2022 (03:55:04)
