Estado,vacunados,descarga
Aguascalientes,1650383,09-May-2022 (03:55:04)
Baja California,3276777,09-May-2022 (03:55:04)
Baja California Sur,947698,09-May-2022 (03:55:04)
Campeche,1164995,09-May-2022 (03:55:04)
Chiapas,3771407,09-May-2022 (03:55:04)
Chihuahua,4527102,09-May-2022 (03:55:04)
Coahuila,3650430,09-May-2022 (03:55:04)
Colima,863882,09-May-2022 (03:55:04)
CDMX,13156558,09-May-2022 (03:55:04)
Durango,2036751,09-May-2022 (03:55:04)
Guerrero,2931834,09-May-2022 (03:55:04)
Hidalgo,3750376,09-May-2022 (03:55:04)
Jalisco,8493172,09-May-2022 (03:55:04)
Estado de México,22460360,09-May-2022 (03:55:04)
Michoacán,4557489,09-May-2022 (03:55:04)
Morelos,2251565,09-May-2022 (03:55:04)
Nayarit,1346349,09-May-2022 (03:55:04)
Nuevo León,7193423,09-May-2022 (03:55:04)
Oaxaca,3580404,09-May-2022 (03:55:04)
Puebla,7069302,09-May-2022 (03:55:04)
Querétaro,3108862,09-May-2022 (03:55:04)
Quintana Roo,2366344,09-May-2022 (03:55:04)
San Luis Potosí,3233287,09-May-2022 (03:55:04)
Sinaloa,3832082,09-May-2022 (03:55:04)
Sonora,3529952,09-May-2022 (03:55:04)
Tabasco,2966754,09-May-2022 (03:55:04)
Tamaulipas,4234931,09-May-2022 (03:55:04)
Tlaxcala,1637982,09-May-2022 (03:55:04)
Veracruz,7898309,09-May-2022 (03:55:04)
Yucatán,2917155,09-May-2022 (03:55:04)
Zacatecas,1806999,09-May-2022 (03:55:04)
Guanajuato,7062547,09-May-2022 (03:55:04)
