Estado,vacunados,descarga
Aguascalientes,1650383,18-Apr-2022 (03:55:03)
Baja California,3276777,18-Apr-2022 (03:55:03)
Baja California Sur,947698,18-Apr-2022 (03:55:03)
Campeche,1164995,18-Apr-2022 (03:55:03)
Chiapas,3771407,18-Apr-2022 (03:55:03)
Chihuahua,4527102,18-Apr-2022 (03:55:03)
Coahuila,3650430,18-Apr-2022 (03:55:03)
Colima,863882,18-Apr-2022 (03:55:03)
CDMX,13156558,18-Apr-2022 (03:55:03)
Durango,2036751,18-Apr-2022 (03:55:03)
Guerrero,2931834,18-Apr-2022 (03:55:03)
Hidalgo,3750376,18-Apr-2022 (03:55:03)
Jalisco,8493172,18-Apr-2022 (03:55:03)
Estado de México,22460360,18-Apr-2022 (03:55:03)
Michoacán,4557489,18-Apr-2022 (03:55:03)
Morelos,2251565,18-Apr-2022 (03:55:03)
Nayarit,1346349,18-Apr-2022 (03:55:03)
Nuevo León,7193423,18-Apr-2022 (03:55:03)
Oaxaca,3580404,18-Apr-2022 (03:55:03)
Puebla,7069302,18-Apr-2022 (03:55:03)
Querétaro,3108862,18-Apr-2022 (03:55:03)
Quintana Roo,2366344,18-Apr-2022 (03:55:03)
San Luis Potosí,3233287,18-Apr-2022 (03:55:03)
Sinaloa,3832082,18-Apr-2022 (03:55:03)
Sonora,3529952,18-Apr-2022 (03:55:03)
Tabasco,2966754,18-Apr-2022 (03:55:03)
Tamaulipas,4234931,18-Apr-2022 (03:55:03)
Tlaxcala,1637982,18-Apr-2022 (03:55:03)
Veracruz,7898309,18-Apr-2022 (03:55:03)
Yucatán,2917155,18-Apr-2022 (03:55:03)
Zacatecas,1806999,18-Apr-2022 (03:55:03)
Guanajuato,7062547,18-Apr-2022 (03:55:03)
